[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\afx.class [ 177/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\afy.class [ 178/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\afz.class [ 179/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\ag$a.class [ 180/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\ag$b.class [ 181/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\ag.class [ 182/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aga$1.class [ 183/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aga.class [ 184/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agb$1.class [ 185/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agb.class [ 186/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agc.class [ 187/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agd$1.class [ 188/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agd.class [ 189/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agg.class [ 190/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agh.class [ 191/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agi.class [ 192/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agj$1.class [ 193/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agj$a.class [ 194/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agj$b.class [ 195/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agj.class [ 196/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agk.class [ 197/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agl.class [ 198/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agm.class [ 199/4976 | 3% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\agn.class [ 200/4976 | 4% ]
[Sun Mar 15 11:08:49 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\ago.class [ 201/4976 | 4% ]
